nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
8,16,e4m3,sr,False,-0.4876246340494283,-0.48814241798110186,-0.487171620684431,0.012375365950571704,-0.6959648031702499,1.7612996911121028,weakening (slower decay than -0.5),False,2000
gaussian,16,e4m3,sr,True,-0.49091895702101157,-0.4913833314432871,-0.4903965305596638,0.00908104297898843,-0.714528265592504,1.7368181634031694,weakening (slower decay than -0.5),False,2000
1,32,e4m3,sr,True,-0.023041993099504297,-0.023532769097825156,-0.022522937341815114,0.4769580069004957,-0.8107856110171789,0.9013504881672731,weakening (slower decay than -0.5),False,2000
15,16,e4m3,rtne,False,-0.49445464011600015,-0.4947944777624636,-0.49397153998733895,0.005545359883999845,-0.8519470904003925,1.4814383401307705,weakening (slower decay than -0.5),False,2000
8,32,e4m3,sr,True,-0.47807450409192787,-0.47846482041063537,-0.4777001113326621,0.021925495908072135,-0.6911452669850702,1.6812015206490873,weakening (slower decay than -0.5),False,2000
3,16,e4m3,sr,True,-0.44932953308178053,-0.4495721848769762,-0.44908791577777046,0.05067046691821947,-0.6616485804089807,1.7702976908280261,weakening (slower decay than -0.5),False,2000
15,16,e8m0,rtne,True,-0.49244657622544746,-0.49288198208982187,-0.4920569028136276,0.007553423774552537,-0.7786637150842266,1.5426458697560594,weakening (slower decay than -0.5),False,2000
1,32,e8m0,rtne,False,-0.08978863343784237,-0.09026831708725626,-0.08932321388724423,0.4102113665621576,-0.7466018255479487,1.1724207045654955,weakening (slower decay than -0.5),False,2000
30,16,e4m3,rtne,False,-0.4950513379616535,-0.49548789387584474,-0.49459185312888143,0.004948662038346485,-0.856284185791532,1.4713328265939227,weakening (slower decay than -0.5),False,2000
15,16,e8m0,sr,False,-0.48891255497037156,-0.48948172138182333,-0.4884956554788512,0.01108744502962844,-0.6233713374204586,1.8308637279177309,weakening (slower decay than -0.5),False,2000
30,32,e8m0,sr,True,-0.4851334376747478,-0.4855675793381079,-0.48480258642391466,0.014866562325252186,-0.635724661237506,1.7258313202665108,weakening (slower decay than -0.5),False,2000
5,16,e8m0,rtne,False,-0.4777483409201569,-0.478342862821616,-0.47725066781258296,0.02225165907984311,-0.7398594294482839,1.6172727328857794,weakening (slower decay than -0.5),False,2000
3,16,e8m0,sr,True,-0.4550623673510454,-0.4553486175393542,-0.4548595651599843,0.04493763264895462,-0.5919534088456468,1.7762743310911302,weakening (slower decay than -0.5),False,2000
1,16,e4m3,rtne,True,-0.10482087402763804,-0.10529303811705973,-0.10429459574779641,0.39517912597236193,-0.8815047079419194,1.0812177686114035,weakening (slower decay than -0.5),False,2000
3,16,e4m3,rtne,True,-0.4517482749939219,-0.45200720754342794,-0.4515197500907383,0.048251725006078106,-0.8114941572240171,1.497651529717194,weakening (slower decay than -0.5),False,2000
