layer,n_tokens,excess_kurtosis,nu_equivalent,nu_note,preset,observed_median_be,predicted_median_be,ratio_observed_over_predicted,verdict
h0,34390,1.0203401204289273,9.880392116187434,,mxfp4,0.006892377466291221,0.006912142695829826,0.9971405061486174,CLOSE (within 10%; observed/predicted = 0.997)
h0,34390,1.0203401204289273,9.880392116187434,,nvfp4,0.005294238141702101,0.005361923882105691,0.9873765943172979,CLOSE (within 10%; observed/predicted = 0.987)
h6,34390,101.91520380555781,4.058872472172526,,mxfp4,0.010732725496968389,0.007762107678727061,1.382707628030289,MODERATE GAP (observed/predicted = 1.383)
h6,34390,101.91520380555781,4.058872472172526,,nvfp4,0.007018434086789413,0.005686867622129226,1.2341476104487965,MODERATE GAP (observed/predicted = 1.234)
h11,34390,7.0251018788556205,4.854080140539883,,mxfp4,0.007718189133845249,0.007413849110733756,1.0410502046326882,CLOSE (within 10%; observed/predicted = 1.041)
h11,34390,7.0251018788556205,4.854080140539883,,nvfp4,0.005498610668964026,0.005534184385255004,0.9935720037832929,CLOSE (within 10%; observed/predicted = 0.994)
