nu,n,round_mode,rht,n_trials_per_cell,effect_block,effect_block_ci_low,effect_block_ci_high,effect_scale,effect_scale_ci_low,effect_scale_ci_high,interaction,interaction_ci_low,interaction_ci_high,effect_block_significant,effect_scale_significant,interaction_significant,dominant_factor
8,16,rtne,False,1000,0.025098756324627658,0.008704680795750954,0.029837689534671696,-0.20579427278293982,-0.2083216198089094,-0.20388159686194762,0.001799965615898902,-0.002400902061751675,0.006796364138281063,True,True,False,scale
8,16,rtne,True,1000,0.0028136489058527836,-0.006745493684359172,0.012377627034502403,-0.166131283118772,-0.16822294787059452,-0.16413335175607674,0.0012644596872006808,-0.00338885824674251,0.005205920567845233,False,True,False,scale
8,16,sr,False,1000,-0.012363394366406322,-0.02410968349233622,0.0020243417226661897,-0.20381788888940688,-0.20634871086723575,-0.2012677223536648,-0.0023446590319786687,-0.007013346634388027,0.00290686631175747,False,True,False,scale
8,16,sr,True,1000,0.01298287158944289,0.003010331583648245,0.017593109347858946,-0.16522920463678004,-0.16732255495321838,-0.16264783290186072,-0.0013192284496588158,-0.005966639215705837,0.0031192207568920363,True,True,False,scale
8,64,rtne,False,1000,-0.0688965895291549,-0.07252769909618983,-0.06218175851563901,-0.20499542223096068,-0.2079164156088906,-0.20247097236911707,-0.03115735698695543,-0.03475216254888756,-0.027239600768881513,True,True,True,scale
8,64,rtne,True,1000,-0.04230471785955592,-0.049455784914412604,-0.03514613461115473,-0.148677808069551,-0.15042857195618387,-0.14633165808634913,-0.03060409348075943,-0.0338110329551348,-0.027450992962441426,True,True,True,scale
8,64,sr,False,1000,-0.07421484113762311,-0.08515443456674676,-0.05527905397527463,-0.195238296316381,-0.19742910558438337,-0.1925476977257111,-0.03202292762741177,-0.03541235653122869,-0.027632529467776317,True,True,True,scale
8,64,sr,True,1000,-0.063496397033183,-0.06864137359348843,-0.05053530837780995,-0.14627156062582003,-0.14833392459275918,-0.1440452146394784,-0.027195229081171224,-0.031064328154808227,-0.023746990740270403,True,True,True,scale
8,256,rtne,False,1000,-0.07215841847080018,-0.07607108860439582,-0.06540787105758034,-0.21068529076795617,-0.21527401837687962,-0.20744594590565252,-0.03282134020239269,-0.036099192324189414,-0.029726778660388913,True,True,True,scale
8,256,rtne,True,1000,-0.041661447591023304,-0.04970403295460368,-0.03803817471620441,-0.14814110495572752,-0.15014154672791585,-0.14586472473310416,-0.033580683113720866,-0.03636029588059346,-0.03046910883862675,True,True,True,scale
8,256,sr,False,1000,-0.07262462319963436,-0.07879218645827102,-0.06239745003854047,-0.20416455422887658,-0.206816817589837,-0.20121156936300705,-0.02679730727560692,-0.030157264945499772,-0.023388701710649225,True,True,True,scale
